qid,question,answer
59,“出国惠”增值服务,小龙人提醒您我行出国惠为您提供了专业的增值服务：如私人定制；高端尊享；VIP专场：详情请看大屏幕。
61,咨询外币旅行支票的光票托收业务,我行可办理的旅行支票光票托收业务指的是我行接受客户的外币旅行支票并将其邮寄给付款行，提示其付款。待收回款项后，我行会将相应资金进行兑现或划转到客户指定账户内。
63,保费,我行代理的保险产品通过柜面代收银行账户代付的方式来帮助客户缴费，每种保险产品对应的保费是不一样的，具体请看保险公告。
64,卡折挂失,您要挂失操作方法有很多，请您查看大屏幕。
65,通知存款转活期咨询,通知存款支取方式如下：1.智慧柜员机：持银行卡到智慧柜员机，通过“个人业务-存款与投资理财-定期存款-取定期-刷卡、输密码”，选择要支取的定期。2.手机银行：登录手机银行，通过“转账-定活互转-定期转活期”，选择要支取的定期。3.个人网银；通过“转账汇款-定活互转-定期转活期”，选择要支取的定期。4.柜台：持有效身份证件和存款介质到柜台办理。
66,手机银行通知存款转活期,您好，登录手机银行，点击“首页→转账→定期转活期”，选择对应通知存款，根据提示进行操作。
67,网银首次购买理财，风险测评提示,您好，根据监管规定，客户购买理财产品必须办理风险评估手续，首次风险评估手续必须至网点柜面办理，需要购买开放式理财产品的客户，至网点柜面除需办理风险评估手续外，还需办理开放式理财产品签约，您可携带本人有效身份证件至网点柜面办理。
70,信用卡挂失生效时间,您好，电话挂失或在线自助挂失均立即生效。
72,II类账户的定义？,Ⅱ类个人银行结算账户可以办理存款、购买投资理财产品等金融产品（指购买银行自营或代理销售的投资理财等金融产品）、限额消费和缴费、限额向非绑定账户转出资金业务。银行可以向Ⅱ类户发放本银行贷款资金并通过Ⅱ类户还款，Ⅱ类户不得透支。经银行柜面、自助设备加以银行工作人员现场面对面确认身份的，Ⅱ类户还可以办理存取现金、非绑定账户资金转入业务，通过柜面开立的II类户可以配发银行卡实体卡片
73,手机银行活期转定期,登录手机银行，选择“首页→转账→定活互转→活期转定期”，选择相应的存款种类和存期即可。温馨提示：整存整取50元起存，不同版本手机银行操作路径略有差异。
75,私人银行客户助业贷扩大抵押物范围,您好，私人银行客户可以将商业用房中的办公用房、标准工业厂房，及其他我行认可的抵押物，均纳入到抵押物范畴哦。
77,外币储蓄利率,您好，我行外币储蓄利率请看屏幕，您可以登录我行官网查看最新利率哦！
78,“蓝豹百大”龙卡联名卡的种类,“蓝豹百大” 龙卡联名卡分为“蓝豹百大”联名贵宾金龙卡、“蓝豹百大”联名贵宾银龙卡、“蓝豹百大”联名贵宾龙卡（以下简称贵宾金卡、贵宾银卡、贵宾卡）。贵宾金、银卡属于龙卡双币种信用卡，贵宾卡属于龙卡借记卡。
79,咨询汇率牌价,小龙人提示您根据屏幕上的方式查询外汇实时牌价哦。
80,短信推送业务类型（客户反感）,您好，很抱歉打扰到您了，我行经常会针对我们的老客户推送一些活动短信，也是想让您能及时了解我们的活动。
81,网银支付方式适用对象,您好，两种不同的支付方式：网银普通客户支付适用于航空客票、考试报名等实名制及小额的支付，网银高级客户支付可以在支持的商户网站进行较大金额的支付。
82,信用卡附属卡开卡条件,信用卡附属卡申办条件是：附属卡申请人须年满13周岁（含），提供身份证明（如身份证复印件，未满16周岁的可提供户口簿复印件），并征得主卡申请人或主卡持卡人同意后办理附属卡。其中未满18周岁的申请人仅限于办理其法定监护人的附属卡。
85,是否信用卡在某一账单日前的交易都会反映在同一期对账单上,您好，如果有预借现金交易，按每日万分之五计收自交易日至实际还款日的利息。若还款日在账单日后，则交易日至还款日跨越两个账单周期，因此交易日至还款日的利息在本期账单内反映
86,外币储蓄定期转存,您好，可以。您存款时要求办理自动转存，到期后，如您没有支取，将自动为您转存，存期为原定存款期限。
91,保管箱销户,您好，如果逾期退租，在补交租金的同时还需要缴纳滞纳金，一般按照5%收取滞纳金（注：各个分行收取比例可能会有差异，请以所在地区分行标准为准）。如果不需要保管箱业务，建议您及时退租。
92,下载个人金交所交易客户端,您好，您可以在代理个人金交所交易客户端办理相关业务。
93,私享品陶瓷,为了满足私人银行客户的需求，我行也会发售关于陶瓷及相关商品的信息，请您看屏幕介绍哦
94,查询两年前交易明细,若您需要查询2年（具体时间根据营业网点公布为准）以前的账户明细，建议您携带有效身份证件和银行账户至我行柜台咨询后查询。
95,活期存款账户销户,您好，销户有两种情况：1. 未丢失的卡/存折销户手续：（1）银行卡和凭密存单可在全国范围销户；（2）不凭密存单只能在开户行办理销户。存单销户可由他人代办，支取金额在5万元以上（含）或办理提前支取，需携带双方有效身份证件及存单办理。2. 已丢失的卡/存折销户手续：需由本人携带有效身份证件办理挂失销户，不支持他人代办
96,人民币2万以内取款，百元钞,请您刷身份证取号！
97,信用卡业务,您要办理的是个人开户、签约及理财业务。请刷身份证，小龙人来帮您取个号吧。
98,密码重置,您要办理的是个人转账、挂失、销户、修改密码业务。请刷身份证，小龙人来帮您取个号吧。
99,人民币2万以上、外币及零钞等取款,请您刷身份证取号！
100,自助快存：人民币5万以上，百元钞,请您刷身份证取号！
101,人民币5万以内存款，百元钞,请您刷身份证取号！
102,账户金,您要办理的是个人开户、签约及理财业务。请刷身份证，小龙人来帮您取个号吧。
103,基金业务,您要办理的是个人开户、签约及理财业务。请刷身份证，小龙人来帮您取个号吧。
104,购买票据,您要办理的是对公转账及汇款业务。请刷身份证，小龙人来帮您取个号吧。
105,柜台存款：外币及零钞等,请您刷身份证取号！
106,银星速汇,您可以到智慧柜员机办理此项业务，如需到柜台办理，请刷身份证取号
108,定期支取,您可以通过自助设备或者手机银行，网上银行将该笔定期转为活期，如需取现请刷身份证取号到柜台办理。
109,唯一账户减免申请,您可以到智慧柜员机办理此项业务，如需到柜台办理，请刷身份证取号
110,睡眠户转正常,您可以到智慧柜员机办理此项业务，如需到柜台办理，请刷身份证取号
111,外汇汇款汇入,电视墙上有实时汇率表哦，您可以看看，如果您需要购汇或换汇，请到自助柜员机办理，如果您要取现钞，请刷身份证取号到柜台办理。如您使用护照或其他证件，可以请大堂经理过来帮您哦~
113,交收票据,您要办理的是对公转账及汇款业务。请刷身份证，小龙人来帮您取个号吧。
114,第三方签约,您可以到智慧柜员机办理此项业务，方便快捷，节省您的宝贵时间哦。若去柜台办理，请刷身份证取号
118,资金账户变更,您要办理的是个人开户、签约及理财业务。请刷身份证，小龙人来帮您取个号吧。
119,存折开户,存折的所有业务只有我行柜台可以办哦~要不您试试看办一张我行的银行卡，使用更方便，可以在智慧柜员机直接开通，也可以节省您好多时间哦~
120,外汇汇款汇出,电视墙上有实时汇率表哦，您可以看看，如果您需要购汇或换汇，请到自助柜员机办理，如果您要取现钞，请刷身份证取号到柜台办理。如您使用护照或其他证件，可以请大堂经理过来帮您哦
121,西联收汇,您可以到智慧柜员机办理此项业务，如需到柜台办理，请刷身份证取号
122,保险业务,您要办理的是个人开户、签约及理财业务，小龙人来帮您取个号吧。
123,个人外汇买卖,电视墙上有实时汇率表哦，您可以看看，如果您需要购汇或换汇，请到自助柜员机办理，如果您要取现钞，请刷身份证取号到柜台办理。如您使用护照或其他证件，可以请大堂经理过来帮您哦~
124,更换存折,您可以到智慧柜员机办理此项业务，如需到柜台办理，请刷身份证取号
125,个人资料修改,您可以到智慧柜员机办理此项业务，如需到柜台办理，请刷身份证取号
128,资产证明,您要办理的是个人开户、签约及理财业务，小龙人来帮您取个号吧。
129,电子银行关闭,您可以到智慧柜员机办理此项业务，方便快捷，节省您的宝贵时间哦。若去柜台办理，请刷身份证取号。
130,手机银行设备解绑,有以下两种方式：1.网银盾客户通过个人网银“我的账户—其他账户服务—渠道互动签约—手机银行客户端管理”解除绑定。2.注销手机银行，重新自行注册申请成为手机银行非签约用户或前往柜台办理签约手续。
131,银行卡解挂,您可以到智慧柜员机办理此项业务，如需到柜台办理，请刷身份证取号
132,批量代发卡激活,您可以到智慧柜员机办理此项业务，方便快捷，节省您的宝贵时间哦。若去柜台办理，请刷身份证取号。
134,聚财业务,您可以到智慧柜员机办理此项业务，方便快捷，节省您的宝贵时间哦。若去柜台办理，请刷身份证取号。
135,风险评估,您可以到智慧柜员机办理此项业务，方便快捷，节省您的宝贵时间哦。若去柜台办理，请刷身份证取号。
137,预约领卡,您要办理的是个人开户、签约及理财业务，小龙人来帮您取个号吧。
139,IC卡圈存,该业务可以在ATM自助快速办理哦，快去试试吧~若去柜台办理，请刷身份证取号。
140,电子银行签约,您可以到智慧柜员机办理此项业务，方便快捷，节省您的宝贵时间哦。若去柜台办理，请刷身份证取号。
141,卡年费减免,您请看看大屏幕，是否可以享受，年费减免和小额账户管理费减免。新开账户需要先存款才可以申请减免哦~
143,智慧柜员机上激活信用卡,在智慧柜员机屏幕上方选择“信用卡—激活设密操作，具体操作步骤请看大屏幕哦
144,智慧柜员机上进行信用卡挂失,进入智慧柜员机主菜单，点击“信用卡”-“卡挂失”进入信用卡挂失界面，进入操作即可 ，具体操作请看大屏幕哦
145,柜员机上约定信用卡还款,点击屏幕上方通过通过“信用卡—还款”菜单，然后根据语音提示操作办理，具体操作见大屏幕哦
146,ATM&CRS转账手续费,所有转账类型的手续费见下表：
147,智慧柜员机销户,小龙人提醒您，我行智慧柜员机是支持销户的，但是具体能不能销户情况请查看大屏幕。
148,智慧柜员机挂失补卡,小龙人提醒您我行智慧柜员机是支持本人挂失补卡的哦。具体操作流程请查看大屏幕。
149,智慧柜员机开通短信通知,我行是支持在智慧柜员机上开通短信通知的，具体操作步骤请查看大屏幕。
150,柜员机上办理信用卡账单分期,在智慧柜员机屏幕上方选择“信用卡—账单分期菜单操作，具体操作步骤请看大屏幕哦
151,智慧柜员机上办理现金分期,在智慧柜员机屏幕上方选择“信用卡—现金分期菜单操作哦，具体操作请看大屏幕
153,咨询补卡手续费,您好，普通卡补卡需要10元手续费，我行基准收费标准请看大屏幕，各分行可能会有差异哦。
154,乐当家理财卡的办理条件,小龙人提醒您：办理乐当家理财卡，需年满18周岁，具有完全民事行为能力和偿还能力，且符合条件的自然人，具体条件请看屏幕哦。
155,私人银行财富贷款自然人联保团体要求,小龙人提醒您：私人银行财富贷款，对自然人联保团体成员是有要求的，具体要求请看大屏幕。
156,私人银行财富贷款差别化服务,您好，我航为私人银行客户，提供更贴心的专属财富贷款服务，具体内容请看大屏幕哦。
159,家族信托财务顾问业务介绍,家族信托财务顾问业务就是家族式的一对一专业信托来给您最专业、最合理的建议。
160,财富保优选项目,财富宝优选项目就是让您的财富保套餐化，更加实惠。
161,财富保优化项目涉及范围,财富保优化可以涉及客户个人、家庭、企业“三位一体”的横向需求，还有少年、青年、中年、老年全生命周期的纵向需求延展等项目哦。
162,财富传承顾问咨询服务介绍,财富传承顾问就是为了让您的资金、财产进行合理有效的分配，从而解决家族财产传承问题的一项服务。
163,私享久远,私享久远就是将保险金债权作为信托财产的综合型金融服务，它可以为您按合约管理、分配您的金融服务，让您更加省心，更放心哦。
164,办理活期存款证明,您好，请您持有效身份证件到柜台办理。
165,定活两便存款证明,您好，可以的，请您持有效身份证件到柜台办理。
167,整存整取利率咨询,您好，挂牌存款利率请看屏幕，某些时间段会有利率上浮优惠，您可以咨询一下大堂经理哦~
168,Pad 注销手机银行,操作步骤，请看大屏幕哦
170,代理个人金交所业务业务特点,代理个人金交所业务的特点请看下图：
171,开通个人金交所业务,你好，开通个人金交所业前需要您做好风险评估并开通网上银行，具体操作请看大屏幕哦。
172,智慧柜员机上申请信用卡,在智慧柜员机屏幕上方选择“信用卡—申请信用卡操作，具体操作步骤请看大屏幕哦
173,智慧柜员机上信用卡还款,在智慧柜员机屏幕上方选择“信用卡—还款操作，具体操作步骤请看大屏幕哦
174,个人资信证明业务,资信证明就是证明客户在银行内的资产情况及业务往来情况的证明文件。我行可证明客户的资信证明具体情况可见大屏幕哦
175,开具资信证明的费用,存款证明资费标准请看大屏幕，各分行可能会有差别，请以网点的为准哦。
176,通过POS机刷卡消费是否收费,若您境内商户消费刷卡时，龙卡通、理财卡、准贷记卡境内通过魄斯刷卡消费不收手续费哦。但是境外要收取外汇兑换手续费，具体收费标准请看大屏幕哦
178,POS机办理资料,一般需要营业执照、身份证、公章等，具体所需办理资料请看大屏幕哦
179,预约保管箱开户,您好，您可以通过手机银行和个人网银预约办理，详情请看大屏幕哦。
180,保管箱续租,您好，您可以取号到柜台办理，手机银行或网银办理更快捷哦，办理方式请见大屏幕。
181,申请保管箱所需材料,小龙人已经为您找到答案，请看大屏幕哦。
182,私人银行出国留学,"您好，我行为私人银行客户,提供专属优惠出国留学服务，请看大屏幕哦。"
183,机场嘉宾服务,您好，机场嘉宾服务能让您在外出时享受尊贵待遇。详情请看大屏幕哦。
184,财富之星价格优惠,我行对持私人银行卡客户和持财富卡客户在综合收益上给予一定程度的优惠哦，详情请看大屏幕哦
185,财富之星服务,您好，我行对私人银行客户拥有的小企业，会给予限时服务、双人营销、援助担保等专属服务哦。
186,私人银行客户助业贷增加自然人联保方式,您好，小龙人已经为您找到答案了，请看大屏幕哦~
187,短信银行的特点,您好，短信银行方便、及时、经济、准确、安全，所以您可以放心使用的呢～详情请看大屏幕哦～
188,短信银行办理转账汇款,您好，如果您已经开通了短信银行转账汇款功能，您可以按照屏幕显示的内容，进行操作哦～
189,咨询短信银行的安全性,您好，我们从银行和客户两方面，保障客户账户信息的安全，您要想了解我们是怎样保护您的信息安全，您可以看大屏幕哦。
190,个人网银注销,您好，注销个人网银有3种方式，请看屏幕哦~
192,发短信开通短信银行,您需先设置电话银行查询密码，或网站查询密码，再发送短信到95533，详细请看大屏幕哦~
193,结售汇管理要求,结售汇管理要求如下：
195,代理个人金交所业务交易时间,你好，交易时间请看屏幕显示
196,个人账户贵金属业务特点,个人账户贵金属交易的业务特色请看大屏幕。
197,个人账户贵金属交易时间,个人账户贵金属交易时间请看大屏幕。
198,账户贵金属业务解约,个人账户贵金属业务的解约主要有个人网银和网点两种办理渠道。具体操作流程请查看大屏幕。
200,个人网银功能,您好，我行网银有3个版本，具体功能区别请看屏幕哦~
201,个人网银版本,您好，目前我行网银有普通版、便捷支付版、高级版，共3个版本哦~
202,外汇汇率,尊敬的客户您好，外汇汇率是时时变动的，建议您到我行官网查看最新牌价哦。
203,健康保障险产品介绍,您好，我行有多种健康保障类保险，具体请看屏幕。
204,智慧柜员机补发网银盾,具体操作见大屏幕哦
205,智慧柜员机解绑手机设备,具体操作见大屏幕哦
207,智慧柜员机查询明细,您好，目前我行智慧柜员机支持查询交易明细/工资明细/收入明细/支出明细哦~
208,智慧柜员机打印明细,您好，目前我行智慧柜员机支持打印所有明细、工资明细、收入明细、支出明细哦~
210,境内外币活期转账,具体办理步骤请看大屏幕哦
211,国泰君安龙卡的功能,国泰君安龙卡具有多种功能包括一卡多用、证券功能、金融功能、贵宾服务，具体请看屏幕。
212,国泰君安龙卡的申办流程,您好，申办国泰君安龙卡需带本人有效证件，前往我行网点办理开卡业务，具体流程请看屏幕。
213,基金赎回,您可以持有效身份证件到网点进行基金赎回，也能通过手机银行，网上银行进行基金赎回。
214,基金定投的方法,定投基金的方法见大屏幕哦，如果您想购买的话，小龙人帮您呼叫大堂经理吧
215,结算通卡的功能,龙卡-结算通卡，能为您提供“实惠、方便、实用、安全、便捷、掌握”，的全方位结算服务功能哦。详情请看大屏幕。
216,非“蓝豹”LAMPO、常州百大公司会员客户办理“方法,我行针对非“蓝豹”LAMPO、常州百大公司会员客户也提供了办理“蓝豹百大”龙卡联名卡的方法呢，详情请看大屏幕
217,出国什么卡比较好,您好，国际旅行信用卡和部分储蓄卡都可以在境外使用，储蓄卡使用相对受限，小龙人建议您选择适合自己的旅行信用卡哦~。
218,咨询个人旅行支票,可以美国运通旅行支票的购买和兑付业务，其他品种的旅行支票只能办理托收哦~
220,电话银行银证转账流程,您可以在证券交易日九点至下午三点四十五分，选择任一方式办理，详情请看大屏幕哦～
221,投资产品介绍,我们投资产品可多啦，有存款，理财，外汇，国债，基金，贵金属，保险等，请看大屏幕！
223,实物贵金属介绍,我行贵金属产品种类可丰富啦，可投资收藏还可馈赠亲友。
224,实物贵金属品种,我行销售以黄金、白银、铂金为主要原料的实物贵金属产品。
225,账户贵金属产品介绍,纸黄金、纸白银、纸铂金都是个人凭证式贵金属，也叫作账户贵金属。您可以对账户中的贵金属份额进行买卖，但账户贵金属份额仅在账户中记录，不提取实物。
227,年金保险产品介绍,您好，我行有多种年金类保险，具体请看屏幕。
228,个人财险产品介绍,您好，我行有多种个人财险，具体请看屏幕。
229,意外险产品介绍,您好，我行有多种意外伤害保险，具体请看屏幕。
230,财富增值类保险产品介绍,您好，我行有多种理财险，具体请看屏幕。
231,寿险产品介绍,您好，我行有多种寿险，具体请看屏幕。
232,电子支付安全保障,我们电子子支付采取了多重安全措施，切实提高电子支付的安全性，请您放心使用。详情请看大屏幕
233,网银支付使用流程,小龙人已经将网银支付的操作流程为您呈现在大屏幕上了。请您查看吧。
234,账号支付与网银的区别,小龙人为您查询到了账号支付与网银二者的区别，详情您请看大屏幕哦
236,PAD银行特点,我行Pad银行主要有使用门槛低、功能丰富、交互方式新颖的特点哦，具体内容请看大屏幕哦
237,签约账户与非签约账户,详情请看大屏幕吧
238,出国攻略-出国外派-出国前,小龙人提醒您为了方便您外派出国，我行为您罗列一些准备事项哦，详情请看大屏幕。
239,出国攻略-出国外派-出国中,小龙人提醒您想要了解出国期间办理境内外汇款业务方法及介绍，详情请看大屏幕哦
240,出国攻略-出国外派-回国后,小龙人提醒您我行为外派工作结束回国的客户提供了个人结汇及个人理财等相关服务，详情请看大屏幕。
242,银星国际速汇的特点,小龙人提醒您我行银星国际速汇业务有三大优势哦，详情请查看大屏幕。
243,咨询境外银行分支机构,我行在美国、加拿大、澳大利亚、日本、法国等十几个国家都设有海外分支机构哦
244,出国适用信用卡,我行信用卡均支持在境外使用，详情请看大屏幕哦
245,信用卡分期手续费,您好，我行信用卡账单分期还款方式很多呢，分期手续费和还款期限相关。详情请看大屏幕哦～
246,信用卡账单最低还款额,您好，我行信用卡会在每月账单上列示最还款额，还清最低还款额不会影响您的个人信用，但不享受免息待遇。
247,信用卡产品,我行信用卡种类丰富，可以满足您的不同需求，请看屏幕：小龙人还可以呼叫大堂经理为您介绍哦～
248,信用卡预借现金,信用卡可以进行现金提取、现金转出、现金充值呢。但是预借现金都是会收取您相应的手续费的哦。
249,信用卡现金转出额度,您好，柜面渠道每卡日限额是2万元、手机银行及网银每卡日限额是1万元，各渠道合计：每卡日限额是2万元，每卡月限额5万元。
250,信用卡跨行汇款收费,您可以通过手机银行、网上银行办理，也可以携带本人身份证件、信用卡到柜台办理，具体流程请看屏幕。
251,网银支付注销流程,您注销网银就可以注销网银支付啦，您可以通过网上银行和柜台两种方式哦，需要小龙人帮您取号吗？
252,快捷支付注销,请您登录个人网银，进入“设置-支付设置-快捷付”，点击“注销授权”，按提示操作即可。详情请看屏幕。
253,准贷记卡功能,龙卡准贷记卡具有消费支付、存取现金、转账结算、小额消费信贷的功能，详情请看屏幕。
254,信用卡工本费,您好，办理普通IC信用卡一般是不收取费用的哦，具体详情请看大屏幕。
255,信用卡取现的手续费,信用卡取现的手续费，小龙人为您展示在大屏幕上了请您查看。
256,信用卡透资取现额度,您好，柜面渠道每卡日限额是2万元、手机银行及网银每卡日限额是1万元，具体请看大屏幕。
257,信用卡利息的产生途径,小龙人知道信用卡利息产生的方式有很多哦，你可以看大屏幕有没有您所对应的情况，如果还是有问题，您可以咨询我们的工作人员哦。
259,办理信用卡现金转出方式,您可以通过手机银行、网上银行办理，也可以携带本人身份证件、信用卡到柜台办理，具体流程请看屏幕。
260,信用卡永久额度的调整方式,永久额度调整只能由您在柜台发起申请，我行将根据您提供的资产证明和您的用卡情况、资信变化进行相应处理。
261,信用卡临时额度的调整方式,信用卡临时额度调整可以通过短信、网银、手机银行、微信公众号即可办理，详情请看大屏幕哦
262,调低信用卡额度,除了柜台办理，您还可以通过拨打电话申请调低额度，或者通过手机银行、个人网银调整交易限额来实现，请看屏幕哦。
264,现金分期的申请渠道,现金分期的申请方式有很多呢，详情请看大屏幕吧
265,信用卡账单分期的申请方法,账单分期的申请方法有很多呢，请您查看大屏幕哦
266,信用卡境外取现手续费,不同信用卡的收费标准不一样呢，请看屏幕~
267,信用卡境外消费入账方式,信用卡境外消费入账方式请看屏幕哦
268,现金分期的手续费收费标准,现金分期的手续费率已经为您呈现在大屏幕上了，请您自行查看哦
270,购车分期的办理流程,小龙人提醒您办理购车分期请看大屏幕。
271,信用卡额度调整方式,您好，临时额度调整可以通过自助渠道办理，永久额度调整只能由您在网点发起申请，具体办理方式请看大屏幕哦
273,开通个人网银,个人网银有普通版、便捷支付版、高级版，3个版本，区别和开通方式请看屏幕哦~
274,短信银行功能,您好，短信银行，常用功能有很多呢，详情请看大屏幕哦～
275,网银转账交易限额,您好，不同验证方式的网银转账限额也不同哦，请看屏幕~
276,信用卡年费,小龙人为您查询到我行信用卡年费的收费标准，详情请您查看大屏幕哦
277,信用卡分期收费,不同种类的信用卡分期手续费标准不一样哦，请看屏幕~
278,信用卡账单分期手续费的收费标准,账单分期的手续费率已经为您呈现在大屏幕上了，请您自行查看哦
280,咨询挂失补卡时长,1.补办预制卡可以立等取卡，新卡卡号与原卡号不一致，普通储蓄卡一般为预制卡；2.如果补办预约卡，卡片需要为您单独定制，一般等待5个工作日，具体等待时长请您在办理补卡业务时咨询柜面员工。
284,黄金定投的风险,黄金定投收益稳，风险低。黄金涨了可以兑换现金，实现财富的增值增值，黄金跌了可以兑换成金条，成为传世之宝。定投方式摊平成本，积少成多，适合长期投资。
285,黄金定投的收费,该业务定期积存买入和赎回不额外收取费用。
286,黄金定投的收益计算方式,黄金积存期限默认为一年，可根据需要选择是否自动展期。月积存起点金额为100元，并以10元整数倍递增。黄金积存的收益会随着每天黄金净值的波动而变化，您可以选择合适的时机赎回。
287,黄金定投不到期赎回,停止定投后，已经申购的份额可以不赎回，其收益会随着每天黄金净值的波动而变化，您可以选择合适的时机再赎回。
288,纸黄金的风险介绍,纸黄金投资起点较低，但价格变化非常快，不能进行实物交割，具有一定亏损风险，适合长线操作。
289,纸白银的风险介绍,纸白银投资门槛低、交易点差费率高、白银价格波动较大，具有一定的风险，请您综合自身风险承受能力谨慎投资。
290,账户贵金属的收费介绍,我行账户贵金属交易不收手续费，但是收取客户买入与卖出的点差费。
291,账户贵金属杠杆情况介绍,很抱歉，我行不支持账户贵金属的杠杆交易。
292,账户贵金属销户流程,请您本人携带身份证等有效证件，并填写相关资料到柜台办理。我行还有其他收益率可观的投资产品哦，请您点击查看。
293,账户贵金属的收益计算方式,您的盈亏= （卖出价-买入价）*交易克数
295,电子式国债,储蓄国债（电子式）是指财政部在中华人民共和国境内发行，面向个人投资者销售的、以电子方式记录债权的不可流通人民币债券。储蓄国债(电子式)不可流通转让，但可以办理提前兑取或终止投资。
296,记账式国债,记账式国债是由财政部通过无纸化方式发行的、以电脑记账方式记录债权，并可以上市交易的债券。 记账式国债由指定商业银行通过其营业网点和电子渠道与投资人进行买卖，并办理托管与结算。
297,凭证式国债购买手续,请您凭本人有效身份证件我行开办凭证式国债业务的网点购买凭证式国债。为了您资产的安全和便于以后到分行辖内其他网点办理提前兑取或兑付，建议您购买时设置密码。
298,电子式国债柜台购买流程,请您凭本人有效身份证件及理财卡或龙卡通，到我行开办电子式国债业务的网点开通证券交易。如您已开通证券交易，可直接持原卡办理业务。若由他人代办，还须同时出示代理人的有效身份证明。（温馨提示：储蓄国债购买必须在财政部公布的国债交易日8：30－16：30内受理。）
300,国债兑付,请您带好身份证件及凭证式国债收款凭证到柜台办理。若购买时未设置密码，请您到原购买网点办理。提前兑取需按兑取本金额的1‰收取手续费。
301,储蓄（电子式）国债提前兑取,提前兑取时应计利息以及应计扣息规定以储蓄国债发行公告为准，提前兑取将按兑取本金的1‰收取手续费。
302,凭证式国债的风险介绍,凭证式国债以国家信用作担保，基本属于零风险投资品种。凭证式国债利息收入免征个人利息所得税，发行利率一般高于相同期限银行定期存款年收益率。
